Finess,Année,Département,Commune,Nom,Catégorie,ivg_2018,medic_2018,tard_2018,% médic.,cat_medic,% tard.,cat_tard,évol_13_18,cat_evol,ivg_2013,ivg_2014,ivg_2015,ivg_2016,ivg_2017,ivg_2018,lat,lon
220000541,2018,CÔTES-D'ARMOR,PAIMPOL,CENTRE HOSPITALIER PAIMPOL,Centres Hospitaliers,32,32,0,1,plus de 95%,0,pas d'IVG tardives,"0,28",en hausse,25,30,18,29,29,32,48.7749587681705,-3.03720831623879
230000820,2018,CREUSE,GUERET,CENTRE HOSPITALIER GUERET,Centres Hospitaliers,161,91,8,"0,5652173913",moins que la moyenne,"0,04968944099",moins que la moyenne,"-0,02424242424",stable,165,177,163,159,156,161,46.1649653758406,1.87113142387245
240000372,2018,DORDOGNE,BERGERAC,C.H DE BERGERAC,Centres Hospitaliers,336,285,2,"0,8482142857",plus que la moyenne,"0,005952380952",moins que la moyenne,"-0,02325581395",stable,344,403,382,330,336,336,44.8512731653056,0.497346188839473
240000489,2018,DORDOGNE,PERIGUEUX,CENTRE HOSPITALIER DE PERIGUEUX,Centres Hospitaliers,519,290,47,"0,5587668593",moins que la moyenne,"0,09055876686",plus que la moyenne,"-0,1218274112",en baisse,591,473,547,537,525,519,45.1922372564976,0.729375182784501
240000190,2018,DORDOGNE,PERIGUEUX,POLYCLINIQUE FRANCHEVILLE,Etablissements de Soins de Courte Durée,24,24,0,1,plus de 95%,0,pas d'IVG tardives,"-0,625",en forte baisse,64,37,43,31,14,24,45.1813958942793,0.717080415161171
240000687,2018,DORDOGNE,SARLAT LA CANEDA,CENTRE HOSPITALIER SARLAT,Centres Hospitaliers,165,145,0,"0,8787878788",plus que la moyenne,0,pas d'IVG tardives,"0,07843137255",en hausse,153,158,132,133,131,165,44.8989013460482,1.22153199579252
250006954,2018,DOUBS,BESANCON,CHRU JEAN MINJOZ,Centres Hospitaliers Régionaux,439,204,70,"0,4646924829",moins que la moyenne,"0,159453303",plus que la moyenne,"-0,2873376623",en baisse,616,597,555,527,471,439,47.2255815117322,5.95961099016261
250000700,2018,DOUBS,PONTARLIER,CHI HC SITE RIVES DU DOUBS PONTARLIER,Centres Hospitaliers,249,199,3,"0,7991967871",plus que la moyenne,"0,01204819277",moins que la moyenne,"-0,06037735849",en baisse,265,234,223,233,234,249,46.9011097678639,6.360202329197
260000286,2018,DRÔME,DIE,CENTRE HOSPITALIER DIE,Centres Hospitaliers,22,22,0,1,plus de 95%,0,pas d'IVG tardives,"-0,3529411765",en baisse,34,34,39,46,24,22,44.7548808562208,5.37212746508378
260000013,2018,DRÔME,VALENCE,CH DE VALENCE,Centres Hospitaliers,425,308,46,"0,7247058824",plus que la moyenne,"0,1082352941",plus que la moyenne,"-0,3089430894",en baisse,615,589,561,488,476,425,44.9118772810398,4.90618312516437
260000120,2018,DRÔME,ROMANS SUR ISERE,HOPITAUX DROME NORD - ROMANS-SUR-ISERE,Centres Hospitaliers,278,96,20,"0,345323741",moins que la moyenne,"0,07194244604",plus que la moyenne,"-0,1575757576",en baisse,330,303,279,254,220,278,45.0449853915381,5.04992154121803
260000138,2018,DRÔME,MONTELIMAR,GR. HOSP. PORTES PROVENCE - MONTELIMAR,Centres Hospitaliers,323,108,44,"0,3343653251",moins que la moyenne,"0,1362229102",plus que la moyenne,"-0,03293413174",stable,334,371,340,344,295,323,44.5744941132033,4.78236572078285
260000146,2018,DRÔME,CREST,CENTRE HOSPITALIER DE CREST,Centres Hospitaliers,47,35,2,"0,7446808511",plus que la moyenne,"0,04255319149",moins que la moyenne,"-0,3815789474",en baisse,76,100,81,63,74,47,44.7261211898905,4.99385164698066
270000359,2018,EURE,EVREUX,CH EVREUX CH EURE-SEINE,Centres Hospitaliers,559,539,23,"0,9642218247",plus de 95%,"0,04114490161",moins que la moyenne,"-0,01061946903",stable,565,611,606,586,657,559,49.029710037511,1.11660393506297
270000045,2018,EURE,BERNAY,CH BERNAY,Centres Hospitaliers,113,92,1,"0,814159292",plus que la moyenne,"0,008849557522",moins que la moyenne,"-0,008771929825",stable,114,132,129,167,130,113,49.0901578144086,0.58953520136309
270000458,2018,EURE,VERNON,CH VERNON CH EURE-SEINE,Centres Hospitaliers,291,256,8,"0,8797250859",plus que la moyenne,"0,02749140893",moins que la moyenne,"0,02826855124",stable,283,304,306,306,265,291,49.0921207920214,1.48501109765651
270000367,2018,EURE,GISORS,CH GISORS,Centres Hospitaliers,166,122,6,"0,734939759",plus que la moyenne,"0,03614457831",moins que la moyenne,"-0,1216931217",en baisse,189,153,134,148,98,166,49.2794695389101,1.76056593225216
270000391,2018,EURE,LOUVIERS,CH LOUVIERS CHI ELBEUF,Centres Hospitaliers,165,57,,"0,3454545455",moins que la moyenne,0,pas d'IVG tardives,,nouvel établissement,,,,,,165,49.210477269231,1.17474794333268
280000662,2018,EURE-ET-LOIR,CHATEAUDUN,CH CHATEAUDUN,Centres Hospitaliers,35,32,0,"0,9142857143",plus que la moyenne,0,pas d'IVG tardives,"-0,6846846847",en forte baisse,111,90,85,78,101,35,48.0732759236111,1.35535893501081
280000084,2018,EURE-ET-LOIR,DREUX,CH DREUX,Centres Hospitaliers,279,245,5,"0,8781362007",plus que la moyenne,"0,01792114695",moins que la moyenne,"-0,2356164384",en baisse,365,351,319,292,314,279,48.736138042338,1.37090410402377
280504267,2018,EURE-ET-LOIR,LE COUDRAY,CH CHARTRES LOUIS PASTEUR-LE COUDRAY,Centres Hospitaliers,365,262,51,"0,7178082192",plus que la moyenne,"0,1397260274",plus que la moyenne,"-0,1797752809",en baisse,445,445,397,324,316,365,48.4231933368522,1.50598420289538
280505777,2018,EURE-ET-LOIR,MAINVILLIERS,HOPITAL PRIVE D'EURE ET LOIR,Etablissements de Soins de Courte Durée,28,18,0,"0,6428571429",plus que la moyenne,0,pas d'IVG tardives,"-0,4814814815",en baisse,54,43,53,34,32,28,48.4542201008432,1.45219636576564
290000025,2018,FINISTÈRE,QUIMPER,CHIC QUIMPER,Centres Hospitaliers,585,291,36,"0,4974358974",moins que la moyenne,"0,06153846154",moins que la moyenne,"-0,1294642857",en baisse,672,609,575,567,556,585,47.9877437414627,-4.09499767856114
290000033,2018,FINISTÈRE,MORLAIX,C.H. DES PAYS DE MORLAIX,Centres Hospitaliers,217,200,12,"0,9216589862",plus que la moyenne,"0,05529953917",moins que la moyenne,"0,4761904762",en hausse,147,173,118,162,192,217,48.5698807444192,-3.83061244144404
290000058,2018,FINISTÈRE,BREST,CHRU BREST SITE HOPITAL MORVAN,Centres Hospitaliers Régionaux,499,309,42,"0,619238477",plus que la moyenne,"0,08416833667",plus que la moyenne,"-0,08941605839",en baisse,548,497,430,505,446,499,48.3927251198918,-4.48782528423805
290000256,2018,FINISTÈRE,CARHAIX PLOUGUER,CHRU BREST SITE HOPITAL DE CARHAIX,Centres Hospitaliers Régionaux,67,52,2,"0,776119403",plus que la moyenne,"0,02985074627",moins que la moyenne,"0,08064516129",en hausse,62,78,59,69,46,67,48.2743526069408,-3.57798090673892
290000140,2018,FINISTÈRE,BREST,CLINIQUE PASTEUR LANROZE,Etablissements de Soins de Courte Durée,43,36,3,"0,8372093023",plus que la moyenne,"0,06976744186",plus que la moyenne,"-0,6838235294",en forte baisse,136,115,47,52,33,43,48.4007189255308,-4.48906072900619
290000173,2018,FINISTÈRE,LANDERNEAU,CH FERDINAND GRALL LANDERNEAU,Centres Hospitaliers,89,73,1,"0,8202247191",plus que la moyenne,"0,01123595506",moins que la moyenne,"-0,3776223776",en baisse,143,105,118,82,94,89,48.4480203586482,-4.24141852764505
290019777,2018,FINISTÈRE,BREST,POLYCLINIQUE DE KERAUDREN,Etablissements de Soins de Courte Durée,267,208,9,"0,7790262172",plus que la moyenne,"0,03370786517",moins que la moyenne,"0,3834196891",en hausse,193,217,336,254,245,267,48.4303726697949,-4.47734251527302
2A0000022,2018,CORSE-DU-SUD,AJACCIO,CH ND LA MISERICORDE,Centres Hospitaliers,375,265,14,"0,7066666667",plus que la moyenne,"0,03733333333",moins que la moyenne,"-0,1238317757",en baisse,428,409,355,343,353,375,41.9229929233379,8.73514085024388
2A0000154,2018,CORSE-DU-SUD,PORTO VECCHIO,CLINIQUE DU SUD DE LA CORSE,Etablissements de Soins de Courte Durée,59,41,0,"0,6949152542",plus que la moyenne,0,pas d'IVG tardives,,nouvel établissement,,3,8,12,22,59,41.5982475577137,9.27647333304252
2B0000012,2018,HAUTE-CORSE,BASTIA,CENTRE HOSPITALIER DE BASTIA,Centres Hospitaliers,469,395,6,"0,842217484",plus que la moyenne,"0,01279317697",moins que la moyenne,"0,01077586207",stable,464,510,513,520,513,469,42.6814891361125,9.43349502587949
2B0000145,2018,HAUTE-CORSE,BASTIA,POLYCLINIQUE LA RESIDENCE MAYMARD,Etablissements de Soins de Courte Durée,176,148,6,"0,8409090909",plus que la moyenne,"0,03409090909",moins que la moyenne,"-0,06382978723",en baisse,188,161,221,198,182,176,42.6973007943922,9.45087638936271
300000031,2018,GARD,BAGNOLS SUR CEZE,CH LOUIS PASTEUR,Centres Hospitaliers,195,98,13,"0,5025641026",moins que la moyenne,"0,06666666667",moins que la moyenne,"0,06557377049",en hausse,183,200,176,182,183,195,44.1524578288378,4.61291132458091
300000023,2018,GARD,ALES,CH ALES CEVENNES,Centres Hospitaliers,459,289,19,"0,6296296296",plus que la moyenne,"0,04139433551",moins que la moyenne,"-0,05555555556",en baisse,486,480,494,431,473,459,44.1451040455927,4.09552501397433
300782117,2018,GARD,NIMES,CHU NIMES CAREMEAU,Centres Hospitaliers Régionaux,551,218,80,"0,3956442831",moins que la moyenne,"0,1451905626",plus que la moyenne,"-0,01431127013",stable,559,506,503,538,539,551,43.8225413146121,4.31886052190566
300788502,2018,GARD,NIMES,POLYCL GRAND SUD,Etablissements de Soins de Courte Durée,263,211,1,"0,8022813688",plus que la moyenne,"0,003802281369",moins que la moyenne,"-0,285326087",en baisse,368,385,293,309,269,263,43.816560767258,4.35612834523686
300780137,2018,GARD,ALES,NOUVELLE CLINIQUE BONNEFON,Etablissements de Soins de Courte Durée,37,0,1,0,aucune,"0,02702702703",moins que la moyenne,"-0,3392857143",en baisse,56,61,87,57,30,37,44.1214033479714,4.08674515120282
300781465,2018,GARD,NIMES,POLYCLINIQUE KENNEDY,Etablissements de Soins de Courte Durée,134,107,1,"0,7985074627",plus que la moyenne,"0,007462686567",moins que la moyenne,"-0,4345991561",en baisse,237,265,206,205,139,134,43.829633965863,4.33766666280676
310016977,2018,HAUTE-GARONNE,TOULOUSE,HOPITAUX MERE & ENFANTS  CHU TLSE,Centres Hospitaliers Régionaux,820,289,142,"0,3524390244",moins que la moyenne,"0,1731707317",plus que la moyenne,"-0,07449209932",en baisse,886,845,728,716,695,820,43.6062438333408,1.40180191573306
310009279,2018,HAUTE-GARONNE,ST GAUDENS,CH COMMINGES PYRENEES SITE ENCORE,Centres Hospitaliers,66,27,4,"0,4090909091",moins que la moyenne,"0,06060606061",moins que la moyenne,"-0,4761904762",en baisse,126,73,80,64,62,66,43.1155926046447,0.733767261215196
310780309,2018,HAUTE-GARONNE,TOULOUSE,POLYCL DU PARC CAPIO,Etablissements de Soins de Courte Durée,35,25,0,"0,7142857143",plus que la moyenne,0,pas d'IVG tardives,"-0,7928994083",en forte baisse,169,94,67,45,39,35,43.5909402780832,1.44439326157678
310780382,2018,HAUTE-GARONNE,TOULOUSE,CLINIQUE AMBROISE PARE,Etablissements de Soins de Courte Durée,330,215,2,"0,6515151515",plus que la moyenne,"0,006060606061",moins que la moyenne,"-0,4946401225",en baisse,653,561,554,472,433,330,43.5894949067152,1.41395747253968
310781067,2018,HAUTE-GARONNE,TOULOUSE,HOPITAL JOSEPH DUCUING,Etablissements de Soins de Courte Durée,1169,498,113,"0,4260051326",moins que la moyenne,"0,09666381523",plus que la moyenne,"0,04655326768",stable,1117,1146,1220,1209,1136,1169,43.5965208753547,1.43013689979419
310026083,2018,HAUTE-GARONNE,TOULOUSE,CLINIQUE ST CYPRIEN RIVE GAUCHE,Etablissements de Soins de Courte Durée,318,207,9,"0,6509433962",plus que la moyenne,"0,02830188679",moins que la moyenne,,nouvel établissement,,,476,473,415,318,43.5965138053098,1.4315165217406
310026927,2018,HAUTE-GARONNE,QUINT-FONSEGRIVES,CL CAPIO LA CROIX DU SUD,Etablissements de Soins de Courte Durée,32,17,0,"0,53125",moins que la moyenne,0,pas d'IVG tardives,,nouvel établissement,,,,,,32,43.583353,1.512845
310780101,2018,HAUTE-GARONNE,TOULOUSE,CLINIQUE ST JEAN LANGUEDOC,Etablissements de Soins de Courte Durée,125,75,6,"0,6",plus que la moyenne,"0,048",moins que la moyenne,"-0,5719178082",en forte baisse,292,309,222,233,215,125,43.5776069633,1.48565310750151
310780283,2018,HAUTE-GARONNE,L UNION,CLINIQUE DE L'UNION,Etablissements de Soins de Courte Durée,17,12,0,"0,7058823529",plus que la moyenne,0,pas d'IVG tardives,"-0,5405405405",en forte baisse,37,32,64,65,21,17,43.6485375826366,1.50708212167729
310781505,2018,HAUTE-GARONNE,MURET,CLINIQUE D'OCCITANIE,Etablissements de Soins de Courte Durée,105,86,2,"0,819047619",plus que la moyenne,"0,01904761905",moins que la moyenne,"-0,5766129032",en forte baisse,248,283,219,141,134,105,43.4659660311758,1.33665338532098
320780067,2018,GERS,AUCH,POLYCLINIQUE DE GASCOGNE,Etablissements de Soins de Courte Durée,34,27,1,"0,7941176471",plus que la moyenne,"0,02941176471",moins que la moyenne,"-0,2608695652",en baisse,46,59,40,36,35,34,43.6449727047874,0.597460689428775
320000086,2018,GERS,AUCH,CH AUCH,Centres Hospitaliers,226,157,12,"0,6946902655",plus que la moyenne,"0,05309734513",moins que la moyenne,"-0,09236947791",en baisse,249,207,227,194,232,226,43.6305499451623,0.579543176693444
330000555,2018,GIRONDE,LA TESTE,CENTRE HOSPITALIER D'ARCACHON,Centres Hospitaliers,296,160,20,"0,5405405405",moins que la moyenne,"0,06756756757",plus que la moyenne,"-0,2429667519",en baisse,391,421,349,324,345,296,44.6327239076563,-1.14571149884822
330000340,2018,GIRONDE,TALENCE,M.S.P.BX. BAGATELLE,Etablissements de Soins de Courte Durée,338,25,38,"0,07396449704",moins que la moyenne,"0,1124260355",plus que la moyenne,"-0,2175925926",en baisse,432,403,369,336,324,338,44.8080813904576,-0.576082683678513
330000571,2018,GIRONDE,BLAYE,CH DE LA HAUTE GIRONDE,Centres Hospitaliers,142,81,8,"0,5704225352",moins que la moyenne,"0,05633802817",moins que la moyenne,"0,1007751938",en hausse,129,177,143,149,149,142,45.1347100816262,-0.659072550531209
330780479,2018,GIRONDE,BORDEAUX,POLYCLIN BORDEAUX-NORD AQUITAINE,Etablissements de Soins de Courte Durée,66,59,0,"0,8939393939",plus que la moyenne,0,pas d'IVG tardives,"-0,3831775701",en baisse,107,117,112,115,86,66,44.863925648992,-0.578407007529093
330780495,2018,GIRONDE,LESPARRE MEDOC,CLINIQUE MUTUALISTE DU MEDOC,Etablissements de Soins de Courte Durée,99,55,5,"0,5555555556",moins que la moyenne,"0,05050505051",moins que la moyenne,"-0,2442748092",en baisse,131,153,138,132,131,99,45.3041295981333,-0.937326647828774
330000589,2018,GIRONDE,LANGON,CH SUD GIRONDE - SITE LANGON,Centres Hospitaliers,240,153,31,"0,6375",plus que la moyenne,"0,1291666667",plus que la moyenne,"-0,1608391608",en baisse,286,271,254,237,239,240,44.5452048444585,-0.244251911668887
330000597,2018,GIRONDE,LA REOLE,CH SUD GIRONDE - SITE LA REOLE,Centres Hospitaliers,17,17,0,1,plus de 95%,0,pas d'IVG tardives,"1,428571429",en hausse,7,,5,2,8,17,44.5845464243291,-0.0391181484302785
330000605,2018,GIRONDE,LIBOURNE,CTRE HOSPIT.R.BOULIN-LIBOURNE,Centres Hospitaliers,418,169,40,"0,4043062201",moins que la moyenne,"0,0956937799",plus que la moyenne,"-0,1961538462",en baisse,520,457,459,388,381,418,44.9198670841986,-0.230023260605214
330781360,2018,GIRONDE,BORDEAUX,GROUPE HOSPITALIER PELLEGRIN - CHU,Centres Hospitaliers Régionaux,1652,748,290,"0,4527845036",moins que la moyenne,"0,1755447942",plus que la moyenne,"0,1276450512",en hausse,1465,1564,1657,1778,1651,1652,44.830108622037,-0.603649246457221
330780537,2018,GIRONDE,ARES,CENTRE MEDICO-CHIRURGICAL WALLERSTEIN,Etablissements de Soins de Courte Durée,97,13,8,"0,1340206186",moins que la moyenne,"0,0824742268",plus que la moyenne,"-0,3263888889",en baisse,144,109,111,88,98,97,44.7564711282324,-1.13249718511133
330782582,2018,GIRONDE,BRUGES,POLYCLINIQUE JEAN VILLAR,Etablissements de Soins de Courte Durée,174,0,19,0,aucune,"0,1091954023",plus que la moyenne,"0,04191616766",stable,167,185,171,146,125,174,44.8857852798434,-0.611400792872637
340000033,2018,HÉRAULT,BEZIERS,CH BEZIERS,Centres Hospitaliers,719,439,35,"0,6105702364",plus que la moyenne,"0,04867872045",moins que la moyenne,"-0,03230148048",stable,743,782,723,760,711,719,43.3396736237271,3.25430690978088
340009885,2018,HÉRAULT,BEZIERS,POLYCLINIQUE CHAMPEAU,Etablissements de Soins de Courte Durée,102,54,2,"0,5294117647",moins que la moyenne,"0,01960784314",moins que la moyenne,"-0,3742331288",en baisse,163,165,150,113,113,102,43.3460416161693,3.22692587262734
340022979,2018,HÉRAULT,MONTPELLIER,POLYCLINIQUE ST ROCH,Etablissements de Soins de Courte Durée,670,402,14,"0,6",plus que la moyenne,"0,02089552239",moins que la moyenne,,nouvel établissement,,,,730,744,670,43.6105782058675,3.87626925271671
340000223,2018,HÉRAULT,SETE,HOPITAL ST CLAIR HBT SETE,Centres Hospitaliers,364,273,3,"0,75",plus que la moyenne,"0,008241758242",moins que la moyenne,"-0,0618556701",en baisse,388,407,349,369,336,364,43.4067946068917,3.66577394489756
340780741,2018,HÉRAULT,SETE,POLYCLINIQUE STE THERESE,Etablissements de Soins de Courte Durée,237,156,28,"0,6582278481",plus que la moyenne,"0,1181434599",plus que la moyenne,"0,2153846154",en hausse,195,212,201,204,225,237,43.4084037070631,3.70383007979257
340796663,2018,HÉRAULT,MONTPELLIER,HOPITAL ARNAUD DE VILLENEUVE CHU MPT,Centres Hospitaliers Régionaux,1044,624,54,"0,5977011494",plus que la moyenne,"0,05172413793",moins que la moyenne,"-0,2",en baisse,1305,1384,1268,1253,1109,1044,43.6202701334691,3.90397273213831
340780675,2018,HÉRAULT,MONTPELLIER,CLINIQUE CLEMENTVILLE,Etablissements de Soins de Courte Durée,630,396,13,"0,6285714286",plus que la moyenne,"0,02063492063",moins que la moyenne,"-0,2125",en baisse,800,750,683,599,599,630,43.6130871709897,3.85236579162484
340780717,2018,HÉRAULT,GANGES,CLINIQUE ST LOUIS,Etablissements de Soins de Courte Durée,86,79,2,"0,9186046512",plus que la moyenne,"0,02325581395",moins que la moyenne,"-0,2773109244",en baisse,119,80,95,109,114,86,43.9324398632435,3.70282263951792
350000121,2018,ILLE-ET-VILAINE,ST GREGOIRE,CHP SAINT GREGOIRE,Etablissements de Soins de Courte Durée,37,0,3,0,aucune,"0,08108108108",plus que la moyenne,"-0,3392857143",en baisse,56,64,57,43,32,37,48.1450760886709,-1.68704965202012
350007084,2018,ILLE-ET-VILAINE,RENNES,CHRU RENNES SITE HOPITAL SUD,Centres Hospitaliers Régionaux,1863,789,96,"0,423510467",moins que la moyenne,"0,05152979066",moins que la moyenne,"-0,07635101636",en baisse,2017,1944,1961,1821,1761,1863,48.0845078409414,-1.65404430281241
350000154,2018,ILLE-ET-VILAINE,FOUGERES,C.H FOUGERES,Centres Hospitaliers,28,20,1,"0,7142857143",plus que la moyenne,"0,03571428571",moins que la moyenne,"-0,6705882353",en forte baisse,85,55,59,48,47,28,48.3584418199901,-1.19346432948876
350000147,2018,ILLE-ET-VILAINE,ST MALO,CENTRE HOSPITALIER SAINT-MALO,Centres Hospitaliers,357,266,6,"0,7450980392",plus que la moyenne,"0,01680672269",moins que la moyenne,"-0,01923076923",stable,364,373,373,354,333,357,48.6365947773777,-2.00927889847909
350000188,2018,ILLE-ET-VILAINE,VITRE,CENTRE HOSPITALIER   VITRE,Centres Hospitaliers,81,58,1,"0,7160493827",plus que la moyenne,"0,01234567901",moins que la moyenne,"2,24",en hausse,25,68,75,74,62,81,48.1230338601795,-1.23548019382797
350000162,2018,ILLE-ET-VILAINE,REDON,CHIRC SITE REDON,Centres Hospitaliers,142,118,2,"0,8309859155",plus que la moyenne,"0,01408450704",moins que la moyenne,"0,2347826087",en hausse,115,84,119,119,108,142,47.6539702715455,-2.08078340369393
360000038,2018,INDRE,ISSOUDUN,CH LA TOUR BLANCHE -  ISSOUDUN,Centres Hospitaliers,28,28,0,1,plus de 95%,0,pas d'IVG tardives,"0,1666666667",en hausse,24,38,33,38,23,28,46.9577775072045,1.99678264468441
360000160,2018,INDRE,LE BLANC,CH DU BLANC,Centres Hospitaliers,39,34,1,"0,8717948718",plus que la moyenne,"0,02564102564",moins que la moyenne,"-0,390625",en baisse,64,54,46,52,44,39,46.6329165729317,1.05819198053888
360000137,2018,INDRE,CHATEAUROUX,CH CHATEAUROUX,Centres Hospitaliers,327,270,24,"0,8256880734",plus que la moyenne,"0,07339449541",plus que la moyenne,"-0,1615384615",en baisse,390,416,354,351,337,327,46.7987449053757,1.69797096491253
370000531,2018,INDRE-ET-LOIRE,ST BENOIT LA FORET,CH DU CHINONAIS,Centres Hospitaliers,68,43,1,"0,6323529412",plus que la moyenne,"0,01470588235",moins que la moyenne,"-0,2",en baisse,85,78,70,52,61,68,47.220803438142,0.322556795573931
370000861,2018,INDRE-ET-LOIRE,TOURS,CHRU BRETONNEAU - TOURS,Centres Hospitaliers Régionaux,1129,336,88,"0,2976085031",moins que la moyenne,"0,07794508415",plus que la moyenne,"0,005342831701",stable,1123,1080,1068,982,996,1129,47.3871936106289,0.669555111084659
370000879,2018,INDRE-ET-LOIRE,AMBOISE,CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ,Centres Hospitaliers,60,36,4,"0,6",plus que la moyenne,"0,06666666667",moins que la moyenne,"0,3333333333",en hausse,45,50,44,52,48,60,47.405393623122,0.9813019547378
370000903,2018,INDRE-ET-LOIRE,LOCHES,CH PAUL MARTINAIS - LOCHES,Centres Hospitaliers,38,30,0,"0,7894736842",plus que la moyenne,0,pas d'IVG tardives,,nouvel établissement,,,19,19,20,38,47.1281568592545,0.997660924365353
380000174,2018,ISÈRE,VIENNE,CH LUCIEN HUSSEL,Centres Hospitaliers,309,138,29,"0,4466019417",moins que la moyenne,"0,09385113269",plus que la moyenne,"-0,2863741339",en baisse,433,401,347,340,343,309,45.5356370311361,4.88223196693568
380000067,2018,ISÈRE,LA TRONCHE,HOPITAL NORD - CHU38,Centres Hospitaliers Régionaux,1429,414,85,"0,2897130861",moins que la moyenne,"0,05948215535",moins que la moyenne,"-0,03965053763",stable,1488,1427,1438,1338,1336,1429,45.1972311331234,5.75272245080633
380000091,2018,ISÈRE,ST MARCELLIN,CH DE SAINT MARCELLIN,Centres Hospitaliers,2,2,0,1,plus de 95%,0,pas d'IVG tardives,,nouvel établissement,,,,,,2,45.1526985099721,5.32228841048094
380012658,2018,ISÈRE,GRENOBLE,GROUPE HOSPIT. MUTUALISTE DE GRENOBLE,Etablissements de Soins de Courte Durée,158,132,0,"0,835443038",plus que la moyenne,0,pas d'IVG tardives,"-0,1073446328",en baisse,177,184,194,124,125,158,45.1810355384923,5.71016083627947
380780288,2018,ISÈRE,VOIRON,NOUVELLE CLINIQUE DE CHARTREUSE,Etablissements de Soins de Courte Durée,11,0,0,0,aucune,0,pas d'IVG tardives,,nouvel établissement,,22,20,25,19,11,45.3631250394471,5.58775033786343
380785956,2018,ISÈRE,ECHIROLLES,CLINIQUE DES CEDRES,Etablissements de Soins de Courte Durée,27,0,2,0,aucune,"0,07407407407",plus que la moyenne,"-0,6142857143",en forte baisse,70,51,52,46,45,27,45.1472426927102,5.72330365697417
380000406,2018,ISÈRE,VOIRON,CH DE VOIRON,Centres Hospitaliers,331,188,19,"0,5679758308",moins que la moyenne,"0,05740181269",moins que la moyenne,"-0,1312335958",en baisse,381,355,272,311,274,331,45.3698881763984,5.59204255199506
380000034,2018,ISÈRE,BOURGOIN JALLIEU,CH PIERRE OUDOT BOURGOIN JALLIEU,Centres Hospitaliers,179,40,27,"0,2234636872",moins que la moyenne,"0,1508379888",plus que la moyenne,"-0,3607142857",en baisse,280,323,279,290,241,179,45.5957489100667,5.24616209138027
380786442,2018,ISÈRE,ST MARTIN D HERES,CLINIQUE BELLEDONNE,Etablissements de Soins de Courte Durée,10,0,1,0,aucune,"0,1",plus que la moyenne,"-0,84375",en forte baisse,64,39,31,31,16,10,45.1862116675392,5.76019152767758
390000040,2018,JURA,LONS LE SAUNIER,CH LONS,Centres Hospitaliers,267,196,11,"0,734082397",plus que la moyenne,"0,04119850187",moins que la moyenne,"-0,2283236994",en baisse,346,293,307,304,316,267,46.676999534096,5.55260618165555
390000065,2018,JURA,ST CLAUDE,CH LOUIS JAILLON SAINT CLAUDE,Centres Hospitaliers,37,37,1,1,plus de 95%,"0,02702702703",moins que la moyenne,"-0,119047619",en baisse,42,63,46,,,37,46.3854757263093,5.86651564867072
390000222,2018,JURA,DOLE,CH LOUIS PASTEUR DOLE,Centres Hospitaliers,195,135,21,"0,6923076923",plus que la moyenne,"0,1076923077",plus que la moyenne,"-0,152173913",en baisse,230,229,190,219,219,195,47.0841623255153,5.47479653363714
400000105,2018,LANDES,DAX,CENTRE HOSPITALIER DAX,Centres Hospitaliers,312,113,12,"0,3621794872",moins que la moyenne,"0,03846153846",moins que la moyenne,"-0,1544715447",en baisse,369,286,290,275,305,312,43.7130913244507,-1.04524141949847
400000139,2018,LANDES,MONT DE MARSAN,CENTRE HOSPITALIER DE MONT DE MARSAN,Centres Hospitaliers,358,237,29,"0,6620111732",plus que la moyenne,"0,08100558659",plus que la moyenne,"0,6886792453",en hausse,212,334,355,356,337,358,43.8948574349403,-0.489174277712873
410000020,2018,LOIR-ET-CHER,BLOIS,CH BLOIS SIMONE VEIL,Centres Hospitaliers,609,396,39,"0,6502463054",plus que la moyenne,"0,06403940887",moins que la moyenne,"-0,2172236504",en baisse,778,742,648,599,548,609,47.6000822462571,1.34190560747964
410000046,2018,LOIR-ET-CHER,ROMORANTIN LANTHENAY,CH ROMORANTIN-LANTHENAY,Centres Hospitaliers,53,46,0,"0,8679245283",plus que la moyenne,0,pas d'IVG tardives,"0,08163265306",en hausse,49,60,66,59,57,53,47.3579152068176,1.73394574741984
410004998,2018,LOIR-ET-CHER,VENDOME,CLINIQUE DU SAINT COEUR - VENDOME,Etablissements de Soins de Courte Durée,42,41,0,"0,9761904762",plus de 95%,0,pas d'IVG tardives,"0,1052631579",en hausse,38,51,56,83,35,42,47.7974565615146,1.06537565490662
420000010,2018,LOIRE,ROANNE,CENTRE HOSPITALIER DE ROANNE,Centres Hospitaliers,292,192,21,"0,6575342466",plus que la moyenne,"0,07191780822",plus que la moyenne,"-0,1955922865",en baisse,363,349,293,293,293,292,46.0430572618368,4.07807460003534
420000234,2018,LOIRE,FIRMINY,CH DE FIRMINY,Centres Hospitaliers,217,120,11,"0,5529953917",moins que la moyenne,"0,05069124424",moins que la moyenne,"-0,2385964912",en baisse,285,258,230,214,215,217,45.3877136692933,4.28873666758658
420000226,2018,LOIRE,MONTBRISON,CH DU FOREZ SITE DE MONTBRISON,Centres Hospitaliers,147,110,4,"0,7482993197",plus que la moyenne,"0,02721088435",moins que la moyenne,"-0,006756756757",stable,148,148,125,137,157,147,45.6129593177826,4.04655686535261
