Nom,Structure,Methodes Pratiquees,Horaires,Lien,Adresse,Ville,Dép.,Rég.
Dr Vanessa Flambard,Cabinet médical,IVG médicamenteuse,02 32 59 32 31 ,https://www.ivglesadresses.org/centre_davortement/dr-vanessa-flambard/,7 Rue Septentrion,"27100, Val De Reuil",27,28
Dr Jean THEVENOT – Clinique AMBROISE PARE,Clinique,IVG médicamenteuse,05 61 50 16 19 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-thevenot-clinique-ambroise-pare/,Clinique Ambroise Paré,"31000, TOULOUSE",31,76
Centre Etudes et santé,Centre de Santé,IVG médicamenteuse,Secrétariat;Du lundi au vendredi de 8h30 à 12h et de 13h à 17h;Le samedi de 8h30 à 12h;01 53 95 30 00 / 01 Consultations IVG;Sur RDV;Lundi de 9h à 12h et de 13h à 18h;Jeudi de 13h30 à 18h;Sans RDV;Mardi de 9h à 12h et de 13h à 18h;Jeudi de 13h30 à 18h,https://www.ivglesadresses.org/centre_davortement/centre-etudes-et-sante/,12 rue Viala,"75015, PARIS",75,11
Dr Béatrice BELLAMY CLAVERIE,Cabinet médical,IVG médicamenteuse,05 61 53 37 43 ,https://www.ivglesadresses.org/centre_davortement/dr-beatrice-bellamy-claverie/,"45, Grande rue St Michel","31400, TOULOUSE",31,76
Dr Julie PERRET-BOUVARET,Cabinet médical,IVG médicamenteuse,04 76 41 33 48 ,https://www.ivglesadresses.org/centre_davortement/dr-julie-perret-bouvaret/,3 Le Routoir,"38240, MEYLAN",38,84
Dr Catherine BRUNEAU,Cabinet médical,IVG médicamenteuse,01 40 86 35 14 ,https://www.ivglesadresses.org/centre_davortement/dr-catherine-bruneau/,23 rue de Chanzy,"92600, ASNIERES-SUR-SEINE",92,11
Dr Patrick Petit,Cabinet médical,IVG médicamenteuse,02 35 72 50 36 ,https://www.ivglesadresses.org/centre_davortement/dr-patrick-petit/,449 Rue de Paris,"449 Rue de Paris, SOTTEVILLE-LES-ROUEN",44,52
Centre Hospitalier Reims,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,03 26 78 78 56 03 26 78 78 78,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-reims/,45 rue Cognacq Jay,"51092, Reims",51,44
Centre Hospitalier de Bourg-Saint-Maurice,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Accueil;Du lundi au vendredi;De 8h à 12h et de 14h à 17h;04 79 41 79 86 04 79 41 79 79,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-bourg-saint-maurice/,Rue du Nantet,"73700, BOURG-SAINT-MAURICE",73,84
Hôpitaux du Léman,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Accueil;Lundi-Mardi-Jeudi-Vendredi - De 8h30 à 12h;Mercredi - De 8h30 à 12h et de 14h à 17h;04 50 83 28 71 Consultations IVG sur RDV;Du lundi au vendredi de 8h à 13h;04 50 83 20 00,https://www.ivglesadresses.org/centre_davortement/hopitaux-du-leman/,3 rue de la Dame,"74200, THONON-LES-BAINS",74,84
Dr Yann CHEN,Cabinet médical,IVG médicamenteuse,01 43 55 69 08 ,https://www.ivglesadresses.org/centre_davortement/dr-yann-chen/,157 rue Amelot,"75011, PARIS",75,11
Dr Stéphanie DENOIX,Cabinet médical,IVG médicamenteuse,09 67 27 43 85 ,https://www.ivglesadresses.org/centre_davortement/dr-stephanie-denoix/,13 ter rue Condorcet,"84160, CADENET",84,93
Centre de PMI et de Planification,Centre de Planification et d'Education Familiale,IVG médicamenteuse,"01 34 33 50 80 Psychologue: Consultations sur RDV;Sage-femme;Permanence le lundi de 14h30 à 16h30;Consultations sur RDV le mercredi et le jeudi de 9h à 12h (Suivi de grossesse, entretien de début de grossesse, conseil contraception, informations sur la grossesse);Consultations sur RDV hebdomadaire de planification (Suivi de contraception et dépistage)",https://www.ivglesadresses.org/centre_davortement/centre-de-pmi-et-de-planification-5/,82 avenue de Verdun,"95310, SAINT-OUEN-L’AUMONE",95,11
Hôpital Privé d’Antony,Hôpital privé,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 8h30 à 13h et de 13h30 à 17h30;01 46 74 23 71 Consultations IVG sur RDV;Standard 01 46 74 37 00,https://www.ivglesadresses.org/centre_davortement/hopital-prive-dantony/,1 Rue Velpeau,"92160, ANTONY",92,11
Centre de PMI et de Planification Limeil-Brévannes,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 45 69 35 52 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-familiale-limeil-brevannes/,"24, rue Marius Dantz","94450, LIMEIL-BREVANNES",94,11
Centre Hospitalier Albertville-Moûtiers,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Secrétariat ouvert;Du lundi au vendredi de 8h30 à 12h et de 13h30 à 18h;04 79 89 55 46 Standard 04 79 89 55 55,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-albertville-moutiers/,253 rue Pierre de Coubertin,"73200, ALBERTVILLE",73,84
Groupe Hospitalier La Rochelle-Ré-Aunis,Centre de Planification et d'Education Familiale - Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,"Ouverture du Centre d'orthogénie;Lundi, mercredi, jeudi et vendredi de 8h30 à 16h et mardi matin de 8h30 à 12h;Prise de rendez-vous: 05 46 45 52 24 Consultations IVG sur RDV;Standard 05 46 45 50 50",https://www.ivglesadresses.org/centre_davortement/groupe-hospitalier-la-rochelle-re-aunis/,1er étage du Pôle Femme Enfant,"17000, LA ROCHELLE",17,75
Centre Hospitalier de Lunéville,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,"Du lundi au vendredi, 9h-12h30 - 13h30-17h;03.83.76.14.43 03.83.76.12.12",https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-luneville/,"6, rue Girardet","54300, LUNEVILLE",54,44
Dr Marc VINCENT,Cabinet médical,IVG médicamenteuse,04 75 02 00 81 ,https://www.ivglesadresses.org/centre_davortement/dr-marc-vincent/,Les Jardins de Jacquemart,"26100, ROMANS-SUR-ISERE",26,84
CPEF CH de Haguenau,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,03 88 06 30 44 ,https://www.ivglesadresses.org/centre_davortement/cpef-ch-de-haguenau/,CH de Haguenau,"67500, Haguenau",67,44
Dr Hélène RUSQUES,Cabinet médical,IVG médicamenteuse,05 61 98 61 22 ,https://www.ivglesadresses.org/centre_davortement/dr-helene-rusques/,"17,Rue des Écoles","31360, SAINT-MARTORY",31,76
Dr Houda ELIAS ALKHOURY,Cabinet médical,IVG médicamenteuse,01 30 38 45 35 ,https://www.ivglesadresses.org/centre_davortement/dr-houda-elias-alkhoury/,4bis Square des Artistes,"95520, OSNY",95,11
Victoria Quérol,Cabinet sage-femme,IVG médicamenteuse,07 83 99 06 06 ,https://www.ivglesadresses.org/centre_davortement/victoria-querol/,14 Rue Hoche,"92240, Malakoff",92,11
Marianne NOUAUX,Cabinet sage-femme,IVG médicamenteuse,06 38 72 81 70 ,https://www.ivglesadresses.org/centre_davortement/marianne-nouaux/,10 rue ROGLAZOU,"22970, PLOUMAGOAR",22,53
Polyclinique du parc,Clinique,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,03.29.79.61.62 03.29.79.58.58,https://www.ivglesadresses.org/centre_davortement/polyclinique-du-parc/,"53, route de Behonne","55000, Bar le Duc",55,44
Dr Mathilde SAVIOZ,Cabinet médical,IVG médicamenteuse,04 75 82 31 61 ,https://www.ivglesadresses.org/centre_davortement/dr-mathilde-savioz/,Centre Médical Mistral,"07500, GUILHERAND-GRANGES",07,84
Docteur Matthieu Noirez,Cabinet médical,IVG médicamenteuse,02 31 82 81 82 ,https://www.ivglesadresses.org/centre_davortement/docteur-matthieu-noirez/,"63, Avenue Capitaine Georges Guynemer","14000, Caen",14,28
Centre Municipal de Santé Salvador Allende,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil;Du lundi au vendredi de 8h30 à 12h et de 13h30 à 19h30;Le samedi de 8h30 à 12h;01 49 92 60 66 ,https://www.ivglesadresses.org/centre_davortement/centre-municipal-de-sante-salvador-allende/,20 avenue du Général Leclerc,"93120, LA COURNEUVE",93,11
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 21 74 00 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-20/,"27 Bis, rue du Grand Moulin","50700, valognes",50,28
Dr François POUSSOU,Cabinet médical,IVG médicamenteuse, ,https://www.ivglesadresses.org/centre_davortement/dr-francois-poussou/,449 rue du Président Wilson,"46000, CAHORS",46,76
Centre Hospitalier de Béziers,Centre de Planification et d'Education Familiale - Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,04 67 35 77 08 Consultations sur RDV du lundi au vendredi matin;04 67 35 70 30,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-beziers/,ZAC de Montimaran,"34500, BEZIERS",34,76
Dr Christian JAMIN,Cabinet médical,IVG médicamenteuse,01 45 62 00 50 Prise de rdv possible sir www.doctolib.fr,https://www.ivglesadresses.org/centre_davortement/dr-christian-jamin/,169 boulevard Haussmann,"75008, PARIS",75,11
Centre Municipal de Santé Plaine,Centre de Planification et d'Education Familiale - Centre de Santé,IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Accueil;Du lundi au vendredi - De 8h30 à 19h;Le samedi - De 8h30 à 12h30;01 83 72 20 00 Consultations IVG sur RDV;Du lundi au vendredi;De 14h à 19h,https://www.ivglesadresses.org/centre_davortement/centre-de-sante-de-la-plaine-saint-denis/,153 avenue du Président Wilson,"93210, LA PLAINE SAINT-DENIS",93,11
Centre de PMI et de Planification Ampère,Centre de Planification et d'Education Familiale,IVG médicamenteuse,"Ouvert;Du lundi au vendredi de 8h30 à 17h;01 48 61 87 99 Consultations sur RDV;Pédiatrie, Gynécologie, Suivi de grossesse, Sage-Femme, Psychologue, Conseillère conjugale",https://www.ivglesadresses.org/centre_davortement/centre-pmi-ampere/,"1, Allée Ampère","93290, TREMBLAY-EN-FRANCE",93,11
Planning Familial du Loiret,Planning familial,IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,02 38 70 00 20 ,https://www.ivglesadresses.org/centre_davortement/planning-familial-loiret/,6 rue du Brésil,"45000, Orléans",45,24
CENTRE HOSPITALIER DE MARTIGUES,,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat: 04 42 43 25 60 Standard: 04 42 43 22 22,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-martigues/,"3, boulevard Rayettes","13500, MARTIGUES",13,93
Centre Hospitalier de LAVAUR,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat: 05 63 58 80 70 Standard: 05 63 58 81 81,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-lavaur/,"1, Place Viala","81500, LAVAUR",81,76
Centre Hospitalier BROUSSAIS,,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,du lundi au vendredi de 9h à 12h30 et de 13h30 à 17h;02 99 21 21 99 Tous les jours;Standard 02 99 21 21 21,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-broussais/,1 rue de la Marne,"35400, SAINT-MALO",35,53
Hôpital Antoine Béclère,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 12h et de 13h15 à 17h;01 45 37 40 12 Consultations IVG sur RDV;Du lundi au vendredi;Standard hôpital: 01 45 37 44 44,https://www.ivglesadresses.org/centre_davortement/hopital-antoine-beclere/,157 rue de la Porte de Trivaux,"92140, CLAMART",92,11
Dr Hélène CAMUS-LIEUX,Cabinet médical,IVG médicamenteuse,04 77 32 10 24 ,https://www.ivglesadresses.org/centre_davortement/dr-helene-camus-lieux/,6 Rue des Mutilés du Travail,"42000, SAINT-ETIENNE",42,84
CENTRE HOSPITALIER GENERAL LA CIOTAT,,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,"04 42 08 76 03 Standard, 04 42 08 76 00",https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-general-la-ciotat/,Boulevard Lamartine,"13708, LA CIOTAT",13,93
Dr Stéphanie DAMON-PEREIRA,Cabinet médical,IVG médicamenteuse,04 66 20 00 98 ,https://www.ivglesadresses.org/centre_davortement/dr-stephanie-damon-pereira/,2 rue des Orchidées,"30129, MANDUEL",30,76
Centre de PMI et de Planification du Centre,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,Ouvert;Du lundi au vendredi de 9h à 17h;01 43 32 92 47 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-du-centre/,"64, rue Henri Barbusse","93370, MONTFERMEIL",93,11
Dr Laure MAVRAGANIS,Cabinet médical,IVG médicamenteuse,04 79 28 40 08 ,https://www.ivglesadresses.org/centre_davortement/dr-laure-mavraganis/,49 Route du Col des Prés,"73230, ST-JEAN D'ARVEY",73,84
Dr Jean-Paul Ben Mouhoub,Cabinet médical,IVG médicamenteuse,02 32 33 06 34 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-paul-ben-mouhoub/,8 rue Jean Bart,"27000, Evreux",27,28
Centre Hospitalier Bretagne-Atlantique (CHBA) – Site de Vannes,,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Du lundi au jeudi: 9h15-12h30 14h-17h;Vendredi: 9h15-12h30 14h-16h30;Secrétariat: 02 97 01 41 91 Standard: 02 97 01 41 41,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-bretagne-atlantique-chba-site-de-vannes/,"20, Boulevard Général Guillaudot","56000, VANNES",56,53
Centre de Planification et d’Education Familiale de Saint-Cyr-l’Ecole,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 30 14 82 41 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-et-deducation-familiale-de-saint-cyr-lecole/,34 avenue Gabriel Péri,"78210, SAINT-CYR-L'ECOLE",78,11
Dr Gérard LUMBROSO,Cabinet médical,IVG médicamenteuse,01 42 27 68 70 ,https://www.ivglesadresses.org/centre_davortement/dr-gerard-lumbroso/,36 avenue de Wagram,"75008, PARIS",75,11
CH Bayeux,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Lun/vend:9h-16h30;02-31-51-55-91 ,https://www.ivglesadresses.org/centre_davortement/ch-bayeux/,13 rue Nesmond,"14400, Bayeux",14,28
Dr Marianne LAINE,Cabinet médical,IVG médicamenteuse,02 35 98 80 82 ,https://www.ivglesadresses.org/centre_davortement/dr-marianne-laine/,5 rue Herbière,"76000, Rouen",76,28
Centre de PMI et de Planification Moulin Neuf,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,Ouvert le mardi de 8h30 à 12h;01 48 26 64 25 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-moulin-neuf/,"1, rue des Merisiers","93240, STAINS",93,11
Centre de PMI et de Planification de Chanteloup-les-Vignes,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 39 74 85 89 Consultations le vendredi de 8h30 à 12h30 et de 13h30 à 17h30,https://www.ivglesadresses.org/centre_davortement/centre-de-pmi-3/,1 rue de l'Echo,"78570, CHANTELOUP-LES-VIGNES",78,11
Centre Hospitalier Intercommunal du Val d’Ariège (CHIVA),,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,05 61 03 31 90 Standard: 05 61 03 30 30,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-intercommunal-du-val-dariege-chiva/,Service Orthogénie Entrée 3 ou Accès C - Niveau 1,"09000, FOIX",09,76
Centre hospitalier de Loches,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,02 47 91 31 24 ,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-loches/,Rue du Dr Martinais,"37600, Loches",37,24
Dr William ECLANCHER,Cabinet médical,IVG médicamenteuse,01 45 27 15 33 ,https://www.ivglesadresses.org/centre_davortement/dr-william-eclancher/,11 Rue Charles Tellier,"75016, Paris",75,11
Le Planning Familial 94,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil téléphonique;Lundi - De 14h à 18h;Accueil - Information;Mercredi 14h à 18h;01 43 76 65 87 Consultations IVG médicamenteuse sur RDV;Mercredi 14h à 16h,https://www.ivglesadresses.org/centre_davortement/mfpf-maisons-alfort/,"52, rue Carnot","94700, MAISONS-ALFORT",94,11
Dr Françoise BACLE,Cabinet médical,IVG médicamenteuse,01 40 85 05 02 ,https://www.ivglesadresses.org/centre_davortement/dr-francoise-bacle/,21 allée Saint-Paul,"92390, VILLENEUVE-LA-GARENNE",92,11
Julie Dubos,Cabinet sage-femme,IVG médicamenteuse,02 47 88 98 98 ,https://www.ivglesadresses.org/centre_davortement/julie-dubos/,187 Rue Victor Hugo,"37000, Tours",37,24
Centre de périnatalité CHIC d’Amboise,Centre Périnatal de Proximité (CPP),IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,02 47 23 33 27 ,https://www.ivglesadresses.org/centre_davortement/centre-de-perinatalite-chic-damboise/,CHIC d'Amboise,"37400, Amboise",37,24
Dr Françoise NAHON,Cabinet médical,IVG médicamenteuse,01 64 97 04 15 ,https://www.ivglesadresses.org/centre_davortement/dr-francoise-nahon/,201 rue Pierre et Marie Curie,"91000, EVRY",91,11
Dr Catherine MIGLIORELLI,Cabinet médical,IVG médicamenteuse,04 79 88 02 02 ,https://www.ivglesadresses.org/centre_davortement/dr-catherine-migliorelli/,98 Route des Terraillers,"73420, DRUMETTAZ-CLARAFOND",73,84
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 84 36 00 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-22/,Rue Georges Lochon,"61300, L'Aigle",61,28
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 84 36 00 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-22/,Rue Georges Lochon,"61300, L'Aigle",61,28
Dr Laure MAVRAGANIS,Cabinet médical,IVG médicamenteuse,04 79 28 40 08 ,https://www.ivglesadresses.org/centre_davortement/dr-laure-mavraganis/,49 Route du Col des Prés,"73230, ST-JEAN D'ARVEY",73,84
CHU de La Réunion – Félix Guyon,,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,"Accueil téléphonique;Du lundi au vendredi de 6h30 à 13h30;02 62 90 55 22 Consultations sur RDV;Lundi, mercredi, vendredi de 8h30 à 12h30",https://www.ivglesadresses.org/centre_davortement/chu-de-la-reunion-felix-guyon/,Route de Bellepierre,"97000, SAINT-DENIS",974,04
Dr Françoise NAHON,Cabinet médical,IVG médicamenteuse,01 64 97 04 15 ,https://www.ivglesadresses.org/centre_davortement/dr-francoise-nahon/,201 rue Pierre et Marie Curie,"91000, EVRY",91,11
Centre Municipal de Santé Pesqué,Centre de Planification et d'Education Familiale - Centre de Santé,IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Accueil;Du lundi au vendredi - De 8h30 à 12h et de 13h30 à 19h30;Samedi - De 8h30 à 12h;01 48 11 23 13 Consultations IVG;Du lundi au vendredi;Standard: 01 48 11 22 00,https://www.ivglesadresses.org/centre_davortement/cms-aubervilliers/,"5, Rue du Docteur Pesqué","93300, AUBERVILLIERS",93,11
Dr Laurent ARDITTI,Cabinet médical,IVG médicamenteuse,Informations et prise de RDV sur le site http://www.docteurarditti.com/;01 45 30 64 20 Consultations sur RDV du lundi au samedi,https://www.ivglesadresses.org/centre_davortement/dr-laurent-arditti/,72 rue du Commerce,"75015, PARIS",75,11
Centre Municipal de Santé de Sevran,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil;Du lundi au vendredi;De 8h45 à 12h15 et de 13h30 à 18h45;01 41 52 46 40 1ère consultation IVG sans RDV toute la semaine;Standard 01 41 52 46 30,https://www.ivglesadresses.org/centre_davortement/centre-municipal-de-sante-de-sevran/,4 rue Roger Le Maner,"93270, SEVRAN",93,11
Dr Philippe REVILLON – Hôpital Privé de la Seine-Saint-Denis,Hôpital privé,IVG médicamenteuse,01 45 91 55 65 ,https://www.ivglesadresses.org/centre_davortement/dr-philippe-revillon-hopital-prive-de-seine-saint-denis/,Hôpital Privé de la Seine-Saint-Denis - 7 Avenue Henri Barbusse,"93150, LE BLANC-MESNIL",93,11
Dr Samia BEN AYAD-BELOUFA,Cabinet médical,IVG médicamenteuse,01 43 11 39 53 ,https://www.ivglesadresses.org/centre_davortement/dr-samia-ben-ayad-beloufa/,7 rue Etienne Dolet,"93350, LE BOURGET",93,11
CPEF LA JOLIETTE,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil sur RDV;Du lundi au vendredi;De 8h30 à 12h30 et de 13h30 à 17h;(fermé le mardi après-midi);04 13 31 69 44 Consultation gynécologique pour les adolescentes le mercredi après-midi,https://www.ivglesadresses.org/centre_davortement/cpef-la-joliette/,"63, Avenue Robert Schuman","13002, MARSEILLE",13,93
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 89 27 63 02 33 89 27 60,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-11/,"22, Place du Marché","50300, Avranches",50,28
Centre Périnatal de Proximité,Centre Périnatal de Proximité (CPP),IVG médicamenteuse,lun/ven:9h-16h30;02-33-91-51-43 ,https://www.ivglesadresses.org/centre_davortement/centre-perinatal-de-proximite-4/,BP 629,"50400, Granville",50,28
Dr Richard BOULAY – Hôpital Privé d’Athis-Mons,Hôpital privé,IVG médicamenteuse,01 69 54 45 62 Standard 01 69 54 45 45,https://www.ivglesadresses.org/centre_davortement/dr-richard-boulay-hopital-prive-dathis-mons/,Hôpital Privé d'Athis-Mons - Site Jules Vallès,"91200, ATHIS-MONS",91,11
Dr Sun-Young PARK,Cabinet médical,IVG médicamenteuse,Secrétariat ouvert de 10h à 13h et de 14h à 18h;01 44 74 83 75 ,https://www.ivglesadresses.org/centre_davortement/dr-sun-young-park/,36-44 rue de Wattignies,"75012, PARIS",75,11
Centre de PMI d’Eaubonne,Centre de PMI,IVG médicamenteuse,01 34 33 57 80 ,https://www.ivglesadresses.org/centre_davortement/centre-de-pmi-deaubonne/,22 bis cours Albert 1er,"95600, Eaubonne",95,11
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 12 42 25 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-23/,"16, rue des Capucins","61200, Argentan",61,28
Centre Municipal de Santé Fernand-Goulène,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,"Ouvert;Du lundi au vendredi de 8h30 à 19h;Le samedi de 8h30 à 12h;Attention: à titre exceptionnel, le CMS ferme actuellement tous les midis, entre 12h et 13h30;01 49 42 67 20 Conseillère conjugale et planning familial;Tous les vendredis de 14h à 18h30;Accueil des mineurs: accès libre et direct, sans formalité ni paiement.",https://www.ivglesadresses.org/centre_davortement/centre-municipal-de-sante-fernand-goulene/,"5, rue Pierre-Brossolette","93130, NOISY-LE-SEC",93,11
CPEF CH de Haguenau,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,03 88 06 30 44 ,https://www.ivglesadresses.org/centre_davortement/cpef-ch-de-haguenau/,CH de Haguenau,"67500, Haguenau",67,44
Hôpital Delafontaine,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 16h30;01 42 35 61 28 / 61 40 Consultations IVG sur RDV;Du lundi au vendredi;Standard 01 42 35 61 40,https://www.ivglesadresses.org/centre_davortement/hopital-delafontaine/,2 rue du docteur Delafontaine,"93200, SAINT-DENIS",93,11
Centre de PMI et de Planification,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 48 34 73 58 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-2/,18 rue du Buisson,"93300, AUBERVILLIERS",93,11
Dr Christian CHAUVIN – Clinique Claude Bernard,Clinique,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi - De 9h à 18h;01 30 72 33 11 Consultations IVG sur RDV;Du lundi au samedi,https://www.ivglesadresses.org/centre_davortement/clinique-claude-bernard/,9 avenue Louis Armand,"95120, ERMONT",95,11
CH Sainte-Catherine,Centre de Planification et d'Education Familiale - Hôpital,IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,"Le CPEF fonctionne 24h/24, 7j/7. Le mercredi, l'accueil est assuré par la conseillère conjugale, les autres jours par les médecins, sages-femmes, et infirmières du service gynécologie.;Les CPEF ne réalisent pas des IVG mais sont des lieux d’accueil, d’écoute et d’information.;03 88 71 65 17 ",https://www.ivglesadresses.org/centre_davortement/ch-sainte-catherine/,CH Sainte-Catherine,"67700, Saverne",67,44
Caroline Batlle,Cabinet sage-femme,IVG médicamenteuse, ,https://www.ivglesadresses.org/centre_davortement/caroline-batlle/,4 bis avenue du général de Gaulle,"08500, Revin",08,44
Centre Hospitalier Louis Domergue – CHU de Martinique,,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Standard: 05 96 66 46 00 ,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-louis-domergue-chu-de-martinique/,Rue Jean-Eugène Fatier,"97220, TRINITE",972,02
Centre Hospitalier Saint-Dizier,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,03 25 56 84 37 ,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-saint-dizier/,1 rue Albert Shweitzer,"52125, Saint-Dizier",52,44
Centre de PMI et de Planification,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG) - Centre de PMI,,01 71 29 59 81 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-4/,"20, avenue Léon-Blum","93140, BONDY",93,11
Centre Municipal de Santé des Epinettes,Centre de Santé,IVG médicamenteuse,"Accueil;Lundi - De 8h à 12h et de 15h15 à 20h;Mardi, Mercredi, Jeudi, Vendredi - De 8h à 12h et de 14h à 20h;Samedi - De 8h à 12h et de 13h à 16h;01 60 79 22 22 ",https://www.ivglesadresses.org/centre_davortement/cms-des-epinettes/,Allée de la Commune,"91000, EVRY",91,11
Dr Nadia BERREKLA YEFSAH,Cabinet médical,IVG médicamenteuse,01 64 21 59 35 ,https://www.ivglesadresses.org/centre_davortement/dr-nadia-berrekla-yefsah/,56 Boulevard Chilperic,"77500, CHELLES",77,11
COSEM ATLAS,Centre de Santé,IVG médicamenteuse,Accueil;Du lundi au vendredi de 8h à 19h;Le samedi de 9h à 18h;01 55 56 52 62 Consultations IVG médicamenteuse sur RDV;Jeudi de 9h à 12h;Vendredi de 9h30 à 18h30;Samedi de 9h à 17h15,https://www.ivglesadresses.org/centre_davortement/cosem-atlas/,15 Rue de l'Atlas,"75019, PARIS",75,11
Hélène Bastien,Cabinet sage-femme,IVG médicamenteuse,06 11 47 42 22 ,https://www.ivglesadresses.org/centre_davortement/helene-bastien/,42 Rue Neuve,"59242, Templeuve",59,32
